xcoord	xcoord	ycoord	lab	tumor	tumor_id
E2_6_2	6	2	L2	tumor	T0
E2_7_2	7	2	L3	tumor	T0
E2_8_2	8	2	L1	tumor	T0
E2_6_3	6	3	L6	tumor	T0
E2_7_3	7	3	L7	tumor	T0
E2_8_3	8	3	L5	tumor	T0
E2_9_3	9	3	L4	tumor	T0
E2_6_4	6	4	L13	tumor	T0
E2_7_4	7	4	L11	tumor	T0
E2_8_4	8	4	L12	tumor	T0
E2_9_4	9	4	L10	tumor	T0
E2_10_4	10	4	L9	tumor	T0
E2_11_4	11	4	L8	tumor	T0
E2_6_5	6	5	L19	tumor	T0
E2_7_5	7	5	L18	tumor	T0
E2_8_5	8	5	L17	tumor	T0
E2_9_5	9	5	L20	tumor	T0
E2_10_5	10	5	L15	tumor	T0
E2_11_5	11	5	L14	tumor	T0
E2_12_5	12	5	L16	tumor	T0
E2_13_5	13	5	L21	tumor	T0
E2_14_5	14	5	L22	tumor	T0
E2_3_6	3	6	L35	non	non
E2_4_6	4	6	L29	non	non
E2_5_6	5	6	L27	tumor	T0
E2_6_6	6	6	L31	tumor	T0
E2_7_6	7	6	L34	tumor	T0
E2_8_6	8	6	L32	tumor	T0
E2_9_6	9	6	L30	tumor	T0
E2_10_6	10	6	L24	tumor	T0
E2_11_6	11	6	L23	tumor	T0
E2_12_6	12	6	L26	tumor	T0
E2_13_6	13	6	L33	tumor	T0
E2_14_6	14	6	L28	tumor	T0
E2_15_6	15	6	L25	tumor	T0
E2_3_7	3	7	L50	tumor	T0
E2_4_7	4	7	L42	tumor	T0
E2_5_7	5	7	L47	tumor	T0
E2_6_7	6	7	L51	tumor	T0
E2_7_7	7	7	L49	tumor	T0
E2_8_7	8	7	L41	tumor	T0
E2_9_7	9	7	L45	tumor	T0
E2_10_7	10	7	L37	tumor	T0
E2_11_7	11	7	L36	tumor	T0
E2_12_7	12	7	L46	tumor	T0
E2_13_7	13	7	L48	tumor	T0
E2_14_7	14	7	L43	tumor	T0
E2_15_7	15	7	L44	non	non
E2_16_7	16	7	L38	tumor	T0
E2_17_7	17	7	L39	tumor	T0
E2_19_7	19	7	L40	tumor	T0
E2_2_8	2	8	L69	non	non
E2_3_8	3	8	L67	tumor	T0
E2_4_8	4	8	L55	tumor	T0
E2_5_8	5	8	L64	tumor	T0
E2_6_8	6	8	L63	non	non
E2_7_8	7	8	L68	tumor	T0
E2_8_8	8	8	L57	tumor	T0
E2_9_8	9	8	L54	tumor	T0
E2_10_8	10	8	L61	tumor	T0
E2_11_8	11	8	L53	tumor	T0
E2_12_8	12	8	L65	tumor	T0
E2_13_8	13	8	L66	tumor	T0
E2_14_8	14	8	L60	tumor	T0
E2_16_8	16	8	L62	tumor	T0
E2_17_8	17	8	L58	tumor	T0
E2_18_8	18	8	L59	non	non
E2_19_8	19	8	L56	tumor	T0
E2_20_8	20	8	L52	tumor	T0
E2_2_9	2	9	L89	tumor	T0
E2_3_9	3	9	L87	tumor	T0
E2_4_9	4	9	L84	tumor	T0
E2_5_9	5	9	L83	tumor	T0
E2_6_9	6	9	L82	tumor	T0
E2_7_9	7	9	L71	tumor	T0
E2_8_9	8	9	L85	tumor	T0
E2_9_9	9	9	L79	tumor	T0
E2_10_9	10	9	L81	tumor	T0
E2_11_9	11	9	L73	tumor	T0
E2_12_9	12	9	L88	tumor	T0
E2_13_9	13	9	L86	tumor	T0
E2_14_9	14	9	L80	tumor	T0
E2_15_9	15	9	L90	tumor	T0
E2_16_9	16	9	L72	tumor	T0
E2_17_9	17	9	L75	tumor	T0
E2_18_9	18	9	L76	tumor	T0
E2_19_9	19	9	L77	tumor	T0
E2_20_9	20	9	L78	tumor	T0
E2_21_9	21	9	L74	non	non
E2_22_9	22	9	L70	tumor	T0
E2_2_10	2	10	L113	tumor	T0
E2_3_10	3	10	L110	tumor	T0
E2_4_10	4	10	L108	tumor	T0
E2_5_10	5	10	L109	tumor	T0
E2_6_10	6	10	L101	tumor	T0
E2_7_10	7	10	L111	tumor	T0
E2_8_10	8	10	L106	tumor	T0
E2_9_10	9	10	L102	tumor	T0
E2_10_10	10	10	L97	tumor	T0
E2_11_10	11	10	L95	tumor	T0
E2_12_10	12	10	L107	tumor	T0
E2_13_10	13	10	L112	tumor	T0
E2_14_10	14	10	L98	tumor	T0
E2_15_10	15	10	L99	tumor	T0
E2_16_10	16	10	L104	tumor	T0
E2_17_10	17	10	L94	tumor	T0
E2_18_10	18	10	L100	tumor	T0
E2_19_10	19	10	L96	tumor	T0
E2_20_10	20	10	L91	tumor	T0
E2_21_10	21	10	L92	non	non
E2_22_10	22	10	L93	tumor	T0
E2_23_10	23	10	L103	tumor	T0
E2_24_10	24	10	L105	tumor	T0
E2_2_11	2	11	L138	tumor	T0
E2_3_11	3	11	L134	tumor	T0
E2_4_11	4	11	L135	tumor	T0
E2_5_11	5	11	L136	non	non
E2_6_11	6	11	L131	tumor	T0
E2_7_11	7	11	L130	tumor	T0
E2_8_11	8	11	L128	tumor	T0
E2_9_11	9	11	L121	tumor	T0
E2_10_11	10	11	L115	tumor	T0
E2_12_11	12	11	L137	tumor	T0
E2_13_11	13	11	L132	tumor	T0
E2_14_11	14	11	L124	tumor	T0
E2_15_11	15	11	L125	tumor	T0
E2_16_11	16	11	L127	tumor	T0
E2_17_11	17	11	L129	tumor	T0
E2_18_11	18	11	L122	tumor	T0
E2_19_11	19	11	L120	non	non
E2_20_11	20	11	L117	non	non
E2_21_11	21	11	L118	non	non
E2_22_11	22	11	L114	tumor	T0
E2_23_11	23	11	L123	tumor	T0
E2_24_11	24	11	L133	tumor	T0
E2_25_11	25	11	L126	tumor	T0
E2_26_11	26	11	L119	tumor	T0
E2_27_11	27	11	L116	tumor	T0
E2_2_12	2	12	L167	tumor	T0
E2_3_12	3	12	L164	tumor	T0
E2_4_12	4	12	L159	tumor	T0
E2_5_12	5	12	L165	tumor	T0
E2_6_12	6	12	L166	tumor	T0
E2_7_12	7	12	L161	tumor	T0
E2_8_12	8	12	L154	tumor	T0
E2_9_12	9	12	L152	tumor	T0
E2_10_12	10	12	L149	tumor	T0
E2_11_12	11	12	L145	tumor	T0
E2_12_12	12	12	L160	tumor	T0
E2_13_12	13	12	L162	tumor	T0
E2_14_12	14	12	L155	tumor	T0
E2_15_12	15	12	L156	tumor	T0
E2_16_12	16	12	L157	tumor	T0
E2_17_12	17	12	L140	tumor	T0
E2_18_12	18	12	L146	tumor	T0
E2_19_12	19	12	L163	tumor	T0
E2_20_12	20	12	L150	tumor	T0
E2_21_12	21	12	L142	tumor	T0
E2_22_12	22	12	L139	tumor	T0
E2_23_12	23	12	L151	tumor	T0
E2_24_12	24	12	L158	tumor	T0
E2_25_12	25	12	L153	tumor	T0
E2_26_12	26	12	L143	tumor	T0
E2_27_12	27	12	L141	tumor	T0
E2_28_12	28	12	L147	tumor	T0
E2_29_12	29	12	L148	tumor	T0
E2_30_12	30	12	L144	tumor	T0
E2_2_13	2	13	L196	tumor	T0
E2_3_13	3	13	L191	tumor	T0
E2_4_13	4	13	L194	tumor	T0
E2_5_13	5	13	L193	tumor	T0
E2_6_13	6	13	L189	tumor	T0
E2_7_13	7	13	L190	tumor	T0
E2_8_13	8	13	L187	tumor	T0
E2_9_13	9	13	L188	tumor	T0
E2_10_13	10	13	L177	tumor	T0
E2_11_13	11	13	L171	non	non
E2_12_13	12	13	L192	non	non
E2_13_13	13	13	L195	tumor	T0
E2_14_13	14	13	L174	tumor	T0
E2_15_13	15	13	L182	tumor	T0
E2_16_13	16	13	L183	tumor	T0
E2_17_13	17	13	L180	tumor	T0
E2_18_13	18	13	L184	non	non
E2_19_13	19	13	L178	tumor	T0
E2_20_13	20	13	L181	non	non
E2_21_13	21	13	L169	tumor	T0
E2_22_13	22	13	L168	tumor	T0
E2_23_13	23	13	L176	tumor	T0
E2_24_13	24	13	L185	tumor	T0
E2_25_13	25	13	L186	tumor	T0
E2_26_13	26	13	L179	tumor	T0
E2_27_13	27	13	L173	tumor	T0
E2_28_13	28	13	L172	tumor	T0
E2_29_13	29	13	L170	tumor	T0
E2_30_13	30	13	L175	tumor	T0
E2_2_14	2	14	L225	tumor	T0
E2_3_14	3	14	L224	tumor	T0
E2_4_14	4	14	L218	tumor	T0
E2_5_14	5	14	L220	tumor	T0
E2_6_14	6	14	L222	tumor	T0
E2_7_14	7	14	L223	tumor	T0
E2_8_14	8	14	L216	tumor	T0
E2_9_14	9	14	L213	non	non
E2_10_14	10	14	L206	tumor	T0
E2_11_14	11	14	L207	tumor	T0
E2_12_14	12	14	L219	tumor	T0
E2_13_14	13	14	L221	tumor	T0
E2_14_14	14	14	L215	tumor	T0
E2_15_14	15	14	L209	tumor	T0
E2_16_14	16	14	L214	tumor	T0
E2_17_14	17	14	L210	tumor	T0
E2_18_14	18	14	L202	tumor	T0
E2_19_14	19	14	L212	tumor	T0
E2_20_14	20	14	L201	non	non
E2_21_14	21	14	L198	tumor	T0
E2_22_14	22	14	L197	tumor	T0
E2_23_14	23	14	L211	tumor	T0
E2_24_14	24	14	L217	tumor	T0
E2_25_14	25	14	L203	tumor	T0
E2_26_14	26	14	L204	tumor	T0
E2_27_14	27	14	L208	tumor	T0
E2_28_14	28	14	L205	tumor	T0
E2_29_14	29	14	L200	tumor	T0
E2_30_14	30	14	L199	tumor	T0
E2_2_15	2	15	L254	tumor	T0
E2_3_15	3	15	L248	tumor	T0
E2_4_15	4	15	L249	tumor	T0
E2_5_15	5	15	L253	tumor	T0
E2_6_15	6	15	L252	tumor	T0
E2_7_15	7	15	L251	tumor	T0
E2_8_15	8	15	L242	tumor	T0
E2_9_15	9	15	L239	tumor	T0
E2_10_15	10	15	L226	tumor	T0
E2_11_15	11	15	L236	tumor	T0
E2_12_15	12	15	L247	tumor	T0
E2_13_15	13	15	L250	tumor	T0
E2_14_15	14	15	L246	tumor	T0
E2_15_15	15	15	L240	tumor	T0
E2_16_15	16	15	L245	tumor	T0
E2_17_15	17	15	L244	tumor	T0
E2_18_15	18	15	L243	tumor	T0
E2_19_15	19	15	L237	tumor	T0
E2_20_15	20	15	L230	tumor	T0
E2_21_15	21	15	L229	tumor	T0
E2_22_15	22	15	L228	tumor	T0
E2_23_15	23	15	L235	tumor	T0
E2_24_15	24	15	L241	tumor	T0
E2_25_15	25	15	L238	tumor	T0
E2_26_15	26	15	L232	tumor	T0
E2_27_15	27	15	L233	tumor	T0
E2_28_15	28	15	L231	tumor	T0
E2_29_15	29	15	L234	tumor	T0
E2_30_15	30	15	L227	tumor	T0
E2_2_16	2	16	L281	tumor	T0
E2_3_16	3	16	L278	tumor	T0
E2_4_16	4	16	L276	tumor	T0
E2_5_16	5	16	L282	tumor	T0
E2_6_16	6	16	L283	tumor	T0
E2_7_16	7	16	L279	tumor	T0
E2_8_16	8	16	L273	tumor	T0
E2_9_16	9	16	L274	tumor	T0
