xcoord	xcoord	ycoord	lab	tumor	tumor_id
D2_11_3	11	3	L1	non	non
D2_10_3	10	3	L2	non	non
D2_10_4	10	4	L3	non	non
D2_11_4	11	4	L4	non	non
D2_9_4	9	4	L5	non	non
D2_12_4	12	4	L6	non	non
D2_13_4	13	4	L7	tumor	T1.0
D2_11_5	11	5	L8	tumor	T1.0
D2_10_5	10	5	L9	non	non
D2_13_5	13	5	L10	non	non
D2_9_5	9	5	L11	non	non
D2_14_5	14	5	L12	non	non
D2_8_5	8	5	L13	non	non
D2_12_5	12	5	L14	tumor	T1.0
D2_11_6	11	6	L15	tumor	T1.0
D2_10_6	10	6	L16	tumor	T1.0
D2_12_6	12	6	L17	tumor	T1.0
D2_14_6	14	6	L18	tumor	T1.0
D2_15_6	15	6	L19	tumor	T1.0
D2_7_6	7	6	L20	non	non
D2_9_6	9	6	L21	non	non
D2_13_6	13	6	L22	tumor	T1.0
D2_8_6	8	6	L23	non	non
D2_11_7	11	7	L24	non	non
D2_10_7	10	7	L25	non	non
D2_16_7	16	7	L26	tumor	T1.0
D2_8_7	8	7	L27	non	non
D2_15_7	15	7	L28	tumor	T1.0
D2_7_7	7	7	L29	non	non
D2_9_7	9	7	L30	tumor	T1.0
D2_12_7	12	7	L31	non	non
D2_13_7	13	7	L32	tumor	T1.0
D2_14_7	14	7	L33	tumor	T1.0
D2_11_8	11	8	L34	tumor	T1.0
D2_10_8	10	8	L35	tumor	T1.0
D2_7_8	7	8	L36	non	non
D2_8_8	8	8	L37	non	non
D2_14_8	14	8	L38	tumor	T1.0
D2_6_8	6	8	L39	non	non
D2_12_8	12	8	L40	tumor	T1.0
D2_13_8	13	8	L41	non	non
D2_16_8	16	8	L42	non	non
D2_17_8	17	8	L43	tumor	T1.0
D2_9_8	9	8	L44	non	non
D2_11_9	11	9	L45	tumor	T1.0
D2_10_9	10	9	L46	non	non
D2_9_9	9	9	L47	non	non
D2_16_9	16	9	L48	tumor	T1.0
D2_4_9	4	9	L49	non	non
D2_8_9	8	9	L50	non	non
D2_7_9	7	9	L51	non	non
D2_18_9	18	9	L52	tumor	T1.0
D2_15_9	15	9	L53	tumor	T1.0
D2_14_9	14	9	L54	non	non
D2_5_9	5	9	L55	non	non
D2_6_9	6	9	L56	non	non
D2_13_9	13	9	L57	non	non
D2_17_9	17	9	L58	tumor	T1.0
D2_12_9	12	9	L59	tumor	T1.0
D2_11_10	11	10	L60	tumor	T1.0
D2_19_10	19	10	L61	non	non
D2_10_10	10	10	L62	non	non
D2_20_10	20	10	L63	non	non
D2_15_10	15	10	L64	non	non
D2_16_10	16	10	L65	non	non
D2_17_10	17	10	L66	tumor	T1.0
D2_18_10	18	10	L67	tumor	T1.0
D2_8_10	8	10	L68	non	non
D2_9_10	9	10	L69	non	non
D2_5_10	5	10	L70	non	non
D2_13_10	13	10	L71	tumor	T1.0
D2_7_10	7	10	L72	non	non
D2_4_10	4	10	L73	non	non
D2_12_10	12	10	L74	tumor	T1.0
D2_14_10	14	10	L75	tumor	T1.0
D2_6_10	6	10	L76	non	non
D2_10_11	10	11	L77	non	non
D2_9_11	9	11	L78	non	non
D2_8_11	8	11	L79	non	non
D2_21_11	21	11	L80	non	non
D2_5_11	5	11	L81	non	non
D2_19_11	19	11	L82	non	non
D2_16_11	16	11	L83	non	non
D2_20_11	20	11	L84	non	non
D2_4_11	4	11	L85	non	non
D2_7_11	7	11	L86	non	non
D2_18_11	18	11	L87	tumor	T1.0
D2_17_11	17	11	L88	tumor	T1.0
D2_6_11	6	11	L89	non	non
D2_13_11	13	11	L90	tumor	T1.0
D2_3_11	3	11	L91	non	non
D2_12_11	12	11	L92	tumor	T1.0
D2_15_11	15	11	L93	non	non
D2_14_11	14	11	L94	tumor	T1.0
D2_22_12	22	12	L95	non	non
D2_20_12	20	12	L96	non	non
D2_21_12	21	12	L97	non	non
D2_11_12	11	12	L98	non	non
D2_14_12	14	12	L99	tumor	T1.0
D2_10_12	10	12	L100	non	non
D2_19_12	19	12	L101	non	non
D2_4_12	4	12	L102	tumor	T2.0
D2_15_12	15	12	L103	tumor	T1.0
D2_12_12	12	12	L104	tumor	T1.0
D2_13_12	13	12	L105	tumor	T1.0
D2_5_12	5	12	L106	tumor	T2.0
D2_16_12	16	12	L107	non	non
D2_17_12	17	12	L108	non	non
D2_3_12	3	12	L109	non	non
D2_8_12	8	12	L110	non	non
D2_7_12	7	12	L111	non	non
D2_9_12	9	12	L112	non	non
D2_2_12	2	12	L113	non	non
D2_6_12	6	12	L114	non	non
D2_18_12	18	12	L115	non	non
D2_11_13	11	13	L116	non	non
D2_21_13	21	13	L117	non	non
D2_19_13	19	13	L118	non	non
D2_22_13	22	13	L119	non	non
D2_20_13	20	13	L120	non	non
D2_9_13	9	13	L121	non	non
D2_10_13	10	13	L122	non	non
D2_23_13	23	13	L123	non	non
D2_24_13	24	13	L124	non	non
D2_18_13	18	13	L125	non	non
D2_16_13	16	13	L126	tumor	T1.0
D2_4_13	4	13	L127	tumor	T2.0
D2_5_13	5	13	L128	tumor	T2.0
D2_7_13	7	13	L129	tumor	T2.0
D2_8_13	8	13	L130	tumor	T2.0
D2_13_13	13	13	L131	tumor	T1.0
D2_14_13	14	13	L132	tumor	T1.0
D2_15_13	15	13	L133	tumor	T1.0
D2_17_13	17	13	L134	tumor	T1.0
D2_12_13	12	13	L135	tumor	T1.0
D2_3_13	3	13	L136	non	non
D2_6_13	6	13	L137	tumor	T2.0
D2_2_13	2	13	L138	non	non
D2_21_14	21	14	L139	non	non
D2_22_14	22	14	L140	non	non
D2_11_14	11	14	L141	non	non
D2_20_14	20	14	L142	non	non
D2_10_14	10	14	L143	non	non
D2_4_14	4	14	L144	tumor	T2.0
D2_16_14	16	14	L145	tumor	T1.0
D2_15_14	15	14	L146	tumor	T1.0
D2_9_14	9	14	L147	non	non
D2_13_14	13	14	L148	non	non
D2_19_14	19	14	L149	non	non
D2_12_14	12	14	L150	non	non
D2_17_14	17	14	L151	tumor	T1.0
D2_23_14	23	14	L152	non	non
D2_18_14	18	14	L153	non	non
D2_24_14	24	14	L154	non	non
D2_25_14	25	14	L155	non	non
D2_8_14	8	14	L156	tumor	T2.0
D2_3_14	3	14	L157	tumor	T2.0
D2_5_14	5	14	L158	tumor	T2.0
D2_6_14	6	14	L159	tumor	T2.0
D2_14_14	14	14	L160	tumor	T1.0
D2_7_14	7	14	L161	tumor	T2.0
D2_2_14	2	14	L162	tumor	T2.0
D2_18_15	18	15	L163	non	non
D2_22_15	22	15	L164	non	non
D2_21_15	21	15	L165	non	non
D2_11_15	11	15	L166	non	non
D2_23_15	23	15	L167	non	non
D2_9_15	9	15	L168	non	non
