xcoord	xcoord	ycoord	lab	tumor	tumor_id
C1_13_14	13	14	L11	non	non
C1_14_14	14	14	L10	tumor	T0
C1_15_14	15	14	L9	tumor	T0
C1_16_14	16	14	L5	tumor	T0
C1_17_14	17	14	L7	tumor	T0
C1_18_14	18	14	L8	tumor	T0
C1_19_14	19	14	L2	tumor	T0
C1_20_14	20	14	L3	tumor	T0
C1_21_14	21	14	L4	tumor	T0
C1_22_14	22	14	L1	tumor	T0
C1_23_14	23	14	L6	tumor	T0
C1_5_15	5	15	L32	non	non
C1_6_15	6	15	L28	tumor	T0
C1_7_15	7	15	L30	tumor	T0
C1_8_15	8	15	L19	tumor	T0
C1_9_15	9	15	L20	tumor	T0
C1_10_15	10	15	L16	tumor	T0
C1_11_15	11	15	L15	tumor	T0
C1_12_15	12	15	L29	tumor	T0
C1_13_15	13	15	L31	non	non
C1_14_15	14	15	L27	tumor	T0
C1_15_15	15	15	L26	tumor	T0
C1_16_15	16	15	L21	tumor	T0
C1_17_15	17	15	L24	tumor	T0
C1_18_15	18	15	L22	non	non
C1_19_15	19	15	L17	non	non
C1_20_15	20	15	L14	tumor	T0
C1_21_15	21	15	L12	tumor	T0
C1_22_15	22	15	L13	tumor	T0
C1_23_15	23	15	L23	non	non
C1_24_15	24	15	L25	non	non
C1_26_15	26	15	L18	non	non
C1_6_16	6	16	L47	non	non
C1_7_16	7	16	L48	non	non
C1_8_16	8	16	L39	tumor	T0
C1_9_16	9	16	L45	non	non
C1_10_16	10	16	L43	non	non
C1_11_16	11	16	L35	tumor	T0
C1_12_16	12	16	L49	non	non
C1_13_16	13	16	L53	tumor	T0
C1_14_16	14	16	L50	non	non
C1_15_16	15	16	L46	non	non
C1_16_16	16	16	L37	non	non
C1_17_16	17	16	L40	non	non
C1_18_16	18	16	L41	non	non
C1_19_16	19	16	L42	tumor	T0
C1_20_16	20	16	L38	tumor	T0
C1_21_16	21	16	L33	tumor	T0
C1_22_16	22	16	L34	tumor	T0
C1_23_16	23	16	L52	tumor	T0
C1_24_16	24	16	L51	tumor	T0
C1_25_16	25	16	L44	non	non
C1_26_16	26	16	L36	non	non
C1_6_17	6	17	L62	tumor	T0
C1_7_17	7	17	L68	tumor	T0
C1_8_17	8	17	L66	tumor	T0
C1_9_17	9	17	L59	tumor	T0
C1_10_17	10	17	L69	non	non
C1_11_17	11	17	L55	tumor	T0
C1_12_17	12	17	L70	tumor	T0
C1_13_17	13	17	L72	tumor	T0
C1_14_17	14	17	L74	non	non
C1_15_17	15	17	L73	non	non
C1_16_17	16	17	L67	non	non
C1_17_17	17	17	L63	tumor	T0
C1_18_17	18	17	L64	non	non
C1_19_17	19	17	L60	tumor	T0
C1_20_17	20	17	L57	non	non
C1_21_17	21	17	L56	tumor	T0
C1_22_17	22	17	L54	tumor	T0
C1_23_17	23	17	L61	tumor	T0
C1_24_17	24	17	L71	tumor	T0
C1_25_17	25	17	L65	tumor	T0
C1_26_17	26	17	L58	tumor	T0
C1_6_18	6	18	L93	non	non
C1_7_18	7	18	L79	tumor	T0
C1_8_18	8	18	L85	tumor	T0
C1_9_18	9	18	L87	non	non
C1_10_18	10	18	L81	tumor	T0
C1_11_18	11	18	L78	non	non
C1_12_18	12	18	L90	non	non
C1_13_18	13	18	L94	non	non
C1_14_18	14	18	L92	non	non
C1_15_18	15	18	L88	non	non
C1_16_18	16	18	L86	non	non
C1_17_18	17	18	L80	non	non
C1_19_18	19	18	L82	non	non
C1_20_18	20	18	L77	non	non
C1_21_18	21	18	L76	tumor	T0
C1_22_18	22	18	L75	tumor	T0
C1_23_18	23	18	L89	tumor	T0
C1_24_18	24	18	L91	tumor	T0
C1_25_18	25	18	L83	tumor	T0
C1_26_18	26	18	L84	tumor	T0
C1_6_19	6	19	L101	tumor	T0
C1_7_19	7	19	L102	non	non
C1_8_19	8	19	L106	tumor	T0
C1_9_19	9	19	L109	tumor	T0
C1_10_19	10	19	L107	non	non
C1_11_19	11	19	L97	non	non
C1_12_19	12	19	L114	non	non
C1_13_19	13	19	L113	tumor	T0
C1_14_19	14	19	L115	non	non
C1_15_19	15	19	L103	non	non
C1_16_19	16	19	L110	non	non
C1_17_19	17	19	L108	non	non
C1_18_19	18	19	L98	tumor	T0
C1_19_19	19	19	L99	non	non
C1_20_19	20	19	L104	non	non
C1_21_19	21	19	L96	tumor	T0
C1_22_19	22	19	L95	tumor	T0
C1_23_19	23	19	L105	tumor	T0
C1_24_19	24	19	L112	tumor	T0
C1_25_19	25	19	L111	tumor	T0
C1_26_19	26	19	L100	tumor	T0
C1_6_20	6	20	L132	tumor	T0
C1_7_20	7	20	L135	tumor	T0
C1_8_20	8	20	L130	tumor	T0
C1_9_20	9	20	L127	tumor	T0
C1_10_20	10	20	L124	tumor	T0
C1_11_20	11	20	L120	non	non
C1_12_20	12	20	L133	tumor	T0
C1_13_20	13	20	L134	tumor	T0
C1_14_20	14	20	L131	non	non
C1_15_20	15	20	L128	non	non
C1_16_20	16	20	L121	non	non
C1_17_20	17	20	L125	non	non
C1_18_20	18	20	L122	non	non
C1_19_20	19	20	L117	tumor	T0
C1_20_20	20	20	L118	tumor	T0
C1_21_20	21	20	L123	tumor	T0
C1_22_20	22	20	L116	tumor	T0
C1_23_20	23	20	L136	tumor	T0
C1_24_20	24	20	L129	tumor	T0
C1_25_20	25	20	L126	tumor	T0
C1_26_20	26	20	L119	tumor	T0
C1_7_21	7	21	L156	tumor	T0
C1_8_21	8	21	L150	non	non
C1_9_21	9	21	L153	tumor	T0
C1_10_21	10	21	L147	tumor	T0
C1_11_21	11	21	L137	tumor	T0
C1_12_21	12	21	L151	tumor	T0
C1_13_21	13	21	L154	tumor	T0
C1_14_21	14	21	L155	tumor	T0
