xcoord	xcoord	ycoord	lab	tumor	tumor_id
D2_11_9	11	9	L2	non	non
D2_12_9	12	9	L12	non	non
D2_13_9	13	9	L13	non	non
D2_14_9	14	9	L8	non	non
D2_15_9	15	9	L11	non	non
D2_16_9	16	9	L15	non	non
D2_17_9	17	9	L9	non	non
D2_18_9	18	9	L5	non	non
D2_19_9	19	9	L3	non	non
D2_20_9	20	9	L14	non	non
D2_21_9	21	9	L6	non	non
D2_22_9	22	9	L1	non	non
D2_23_9	23	9	L7	non	non
D2_24_9	24	9	L10	non	non
D2_25_9	25	9	L4	non	non
D2_6_10	6	10	L35	non	non
D2_7_10	7	10	L34	non	non
D2_8_10	8	10	L30	non	non
D2_9_10	9	10	L31	non	non
D2_10_10	10	10	L33	non	non
D2_11_10	11	10	L19	non	non
D2_12_10	12	10	L36	non	non
D2_13_10	13	10	L40	non	non
D2_14_10	14	10	L37	non	non
D2_15_10	15	10	L32	non	non
D2_16_10	16	10	L26	non	non
D2_17_10	17	10	L22	non	non
D2_18_10	18	10	L28	non	non
D2_19_10	19	10	L23	non	non
D2_20_10	20	10	L18	non	non
D2_21_10	21	10	L20	non	non
D2_22_10	22	10	L16	non	non
D2_23_10	23	10	L39	non	non
D2_24_10	24	10	L27	non	non
D2_25_10	25	10	L38	non	non
D2_26_10	26	10	L29	non	non
D2_27_10	27	10	L24	non	non
D2_28_10	28	10	L25	non	non
D2_29_10	29	10	L21	non	non
D2_31_10	31	10	L17	non	non
D2_6_11	6	11	L48	non	non
D2_7_11	7	11	L50	non	non
D2_8_11	8	11	L51	non	non
D2_9_11	9	11	L52	non	non
D2_10_11	10	11	L57	non	non
D2_12_11	12	11	L64	non	non
D2_13_11	13	11	L65	non	non
D2_14_11	14	11	L66	non	non
D2_15_11	15	11	L63	non	non
D2_16_11	16	11	L53	non	non
D2_17_11	17	11	L58	non	non
D2_18_11	18	11	L55	non	non
D2_19_11	19	11	L59	non	non
D2_20_11	20	11	L54	non	non
D2_21_11	21	11	L43	non	non
D2_22_11	22	11	L41	non	non
D2_23_11	23	11	L62	non	non
D2_24_11	24	11	L61	non	non
D2_25_11	25	11	L60	non	non
D2_26_11	26	11	L56	non	non
D2_27_11	27	11	L45	non	non
D2_28_11	28	11	L47	non	non
D2_29_11	29	11	L46	non	non
D2_30_11	30	11	L49	non	non
D2_31_11	31	11	L44	non	non
D2_32_11	32	11	L42	non	non
D2_6_12	6	12	L87	non	non
D2_7_12	7	12	L89	non	non
D2_8_12	8	12	L85	non	non
D2_9_12	9	12	L78	non	non
D2_10_12	10	12	L82	non	non
D2_11_12	11	12	L71	non	non
D2_12_12	12	12	L86	non	non
D2_13_12	13	12	L93	non	non
D2_14_12	14	12	L90	non	non
D2_15_12	15	12	L92	non	non
D2_16_12	16	12	L80	non	non
D2_17_12	17	12	L84	non	non
D2_18_12	18	12	L72	non	non
D2_19_12	19	12	L83	non	non
D2_20_12	20	12	L74	non	non
D2_21_12	21	12	L75	non	non
D2_22_12	22	12	L68	non	non
D2_23_12	23	12	L91	non	non
D2_24_12	24	12	L88	non	non
D2_25_12	25	12	L79	non	non
D2_26_12	26	12	L81	non	non
D2_27_12	27	12	L70	non	non
D2_28_12	28	12	L76	non	non
D2_29_12	29	12	L73	non	non
D2_30_12	30	12	L77	non	non
D2_31_12	31	12	L67	non	non
D2_32_12	32	12	L69	non	non
D2_6_13	6	13	L113	non	non
D2_7_13	7	13	L118	non	non
D2_8_13	8	13	L109	non	non
D2_9_13	9	13	L108	non	non
D2_10_13	10	13	L104	non	non
D2_11_13	11	13	L97	non	non
D2_12_13	12	13	L117	non	non
D2_13_13	13	13	L119	non	non
D2_14_13	14	13	L116	non	non
D2_15_13	15	13	L110	non	non
D2_16_13	16	13	L102	non	non
D2_17_13	17	13	L111	non	non
D2_18_13	18	13	L112	non	non
D2_19_13	19	13	L107	non	non
D2_20_13	20	13	L99	non	non
D2_21_13	21	13	L100	non	non
D2_22_13	22	13	L94	non	non
D2_23_13	23	13	L114	non	non
D2_24_13	24	13	L115	non	non
D2_25_13	25	13	L105	non	non
D2_26_13	26	13	L106	non	non
D2_27_13	27	13	L103	non	non
D2_28_13	28	13	L101	non	non
D2_29_13	29	13	L95	non	non
D2_30_13	30	13	L96	non	non
D2_31_13	31	13	L98	non	non
D2_5_14	5	14	L132	non	non
D2_6_14	6	14	L136	non	non
D2_7_14	7	14	L142	non	non
D2_8_14	8	14	L137	non	non
