xcoord	xcoord	ycoord	lab	tumor	tumor_id
D2_9_10	9	10	L1	tumor	T0
D2_10_11	10	11	L2	tumor	T0
D2_9_11	9	11	L3	non	non
D2_12_11	12	11	L4	tumor	T0
D2_11_12	11	12	L5	tumor	T0
D2_10_12	10	12	L6	tumor	T0
D2_9_12	9	12	L7	tumor	T0
D2_12_12	12	12	L8	tumor	T0
D2_14_12	14	12	L9	tumor	T0
D2_13_12	13	12	L10	tumor	T0
D2_11_13	11	13	L11	tumor	T0
D2_10_13	10	13	L12	tumor	T0
D2_15_13	15	13	L13	tumor	T0
D2_16_13	16	13	L14	tumor	T0
D2_9_13	9	13	L15	tumor	T0
D2_14_13	14	13	L16	tumor	T0
D2_12_13	12	13	L17	tumor	T0
D2_13_13	13	13	L18	tumor	T0
D2_11_14	11	14	L19	tumor	T0
D2_10_14	10	14	L20	tumor	T0
D2_19_14	19	14	L21	tumor	T0
D2_15_14	15	14	L22	non	non
D2_17_14	17	14	L23	tumor	T0
D2_16_14	16	14	L24	tumor	T0
D2_9_14	9	14	L25	non	non
D2_18_14	18	14	L26	tumor	T0
D2_14_14	14	14	L27	non	non
D2_12_14	12	14	L28	non	non
D2_13_14	13	14	L29	non	non
D2_21_15	21	15	L30	tumor	T0
D2_11_15	11	15	L31	non	non
D2_10_15	10	15	L32	tumor	T0
D2_19_15	19	15	L33	tumor	T0
D2_20_15	20	15	L34	tumor	T0
D2_15_15	15	15	L35	non	non
D2_18_15	18	15	L36	tumor	T0
D2_16_15	16	15	L37	tumor	T0
D2_9_15	9	15	L38	tumor	T0
D2_12_15	12	15	L39	non	non
D2_14_15	14	15	L40	tumor	T0
D2_17_15	17	15	L41	tumor	T0
D2_13_15	13	15	L42	tumor	T0
D2_22_16	22	16	L43	tumor	T0
D2_21_16	21	16	L44	tumor	T0
D2_10_16	10	16	L45	tumor	T0
D2_20_16	20	16	L46	tumor	T0
D2_11_16	11	16	L47	tumor	T0
D2_19_16	19	16	L48	tumor	T0
D2_18_16	18	16	L49	non	non
D2_8_16	8	16	L50	tumor	T0
D2_9_16	9	16	L51	tumor	T0
D2_16_16	16	16	L52	tumor	T0
D2_13_16	13	16	L53	tumor	T0
D2_23_16	23	16	L54	tumor	T0
D2_12_16	12	16	L55	non	non
D2_14_16	14	16	L56	tumor	T0
D2_17_16	17	16	L57	tumor	T0
D2_15_16	15	16	L58	tumor	T0
D2_22_17	22	17	L59	tumor	T0
D2_21_17	21	17	L60	tumor	T0
D2_11_17	11	17	L61	non	non
D2_25_17	25	17	L62	tumor	T0
D2_8_17	8	17	L63	non	non
D2_20_17	20	17	L64	tumor	T0
D2_23_17	23	17	L65	tumor	T0
D2_19_17	19	17	L66	tumor	T0
D2_16_17	16	17	L67	tumor	T0
D2_10_17	10	17	L68	tumor	T0
D2_24_17	24	17	L69	tumor	T0
D2_13_17	13	17	L70	non	non
D2_18_17	18	17	L71	tumor	T0
